Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Kwazulu Natal,Newcastle,dartapple@gmail.com,https://www.shekinahchristian.org/,,https://saprivateschools.co.za/listing/shekinah-christian-academy-pre-school/,English,CAPS,,Grade R,Facebook,7:00 am - 3:00 pm,"We are a Christian Private school that has a daycare also to cater for all age groups. 3 months old to Grade R and Grade 1 to Grade 10, (2022).OUR LOGO AND ETHOSHence the use of Sophus the SEA-HORSE as our logo.Sophus is the masculine of the female name Sophia which means ""wisdom"". We are building an environment of learning that keeps the main focus of information sharing its priority.Creating a space for the creativity of the child to flourish in the home environment of love and care. Using the Internet as a vehicle of transforming the minds of our children into the brilliant minds that will form part of our communities that will bring order and good government to our Nation.211 Drakensberg Dr, Barry Hertzog Park, Newcastle, 2945, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:24 am local time","211 Drakensberg Dr, Barry Hertzog Park, Newcastle, 2945, South Africa, South Africa"
Kwazulu Natal,Durban,applications.stjames@gmail.com,,,https://saprivateschools.co.za/listing/st-james-primary-school-for-girls-and-boys-durban/,Computer Applications Technology (CAT),Engineering Graphics and Design,Electrical Technology,Life Sciences,Mathematical Literacy,7:00 am - 3:00 pm,"We are an independent primary school offering a first-class education to children aged 6-13 (Grades 1-7) from the Durban area in South Africa. Our pupils come from a wide range of cultural, ethnic and social backgrounds. ? ? 4001, 16 De Mazenod Rd, Greyville, Berea, 4001, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:24 am local time","4001, 16 De Mazenod Rd, Greyville, Berea, 4001, South Africa"
Goodwood,Western Cape,goodwood@kings.org.za,,,https://saprivateschools.co.za/listing/kings-primary-school-ficksburg/,Tourism,Economics,Visual Arts,Consumer Studies,Agricultural technology,7:00 am - 3:00 pm,"King's School Ficksburg is a Christian school that has successfully provided Godly education since 1997, whos mission is to provide an alternative education system that is Bible based and multicultural. To incorporate both academic and character development, preparing students for responsible adulthood. To offer our students tools that will enable them to make good decisions and to have a firm foundation and knowledge of our Lord, Jesus Christ. Find school fees here and for other admissions information, please contact us below: If you have specific interest in this school, please send a message.King""s School Ficksburg, Kloof Street, Ficksburg, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:24 am local time","King""s School Ficksburg, Kloof Street, Ficksburg, South Africa, South Africa"
Kwazulu Natal,Kokstad,wolhuter@jenschool.co.za,,,https://saprivateschools.co.za/listing/jens-primary-pre-school/,CAPS,,Kwazulu Natal,Facebook,Twitter,7:00 am - 3:00 pm,"JENS Primary School. Gr.R, 1 & 2164 Main Street; 101 Hawthorne Street, 4700 Kokstad, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:24 am local time","164 Main Street; 101 Hawthorne Street, 4700 Kokstad, South Africa"
Western Cape,Winelands,info@thedanielacademy.co.za,,,https://saprivateschools.co.za/listing/the-daniel-academy-high-school/,CAPS,,Western Cape,Facebook,Twitter,7:00 am - 3:00 pm,"Daniel and his friends, were young people, away from their families and homes, and they stood up for Godly family values while at the same time being good stewards of their bodies and the world they lived in. They refused to succumb to a life of luxury and chose to live responsibly in a hedonistic, pleasure-seeking world. They (especially) Daniel became leaders in all aspects of life, including government, which had an impact on the culture and society they lived in. 959 Sir Lowry""s Pass Rd, Helderberg Rural, Cape Town, 7135, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:24 am local time","959 Sir Lowry""s Pass Rd, Helderberg Rural, Cape Town, 7135, South Africa"
Gauteng,Johannesburg,uchs@unitedcs.co.za,,,https://saprivateschools.co.za/listing/united-church-high-school/,CAPS,,Gauteng,Instagram,YouTube,7:00 am - 3:00 pm,"United Church School is an independent school and a member of ISASA, the Independent Schools Association of South Africa. We have been commended by the National Department of Education for our on-going success in the face of the severe socio-economic challenges that affect the lives of most of our learners. Our Grade 12 pass rates are 100% and many of our Matriculants go on to study at universities. ? Frances St, Yeoville, Johannesburg, 2198, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:24 am local time","Frances St, Yeoville, Johannesburg, 2198, South Africa"
Limpopo,Giyani,admin@khanyisaeducentre.co.za,,,https://saprivateschools.co.za/listing/khanyisa-education-centre-primary-school/,Visual Arts,Geography,Agricultural Management Practices,Dance Studies,Civil Technology,7:00 am - 3:00 pm,"Khanyisa Education Centre, founded in 1989, is located in the tranquil Limpopo Province bushveld, on the outskirts of Giyani. The Centre's 40-hectare campus nestles peacefully on the lower slopes of Man'ombe Nature Reserve. The Primary and Secondary schools are accommodated in beautifully designed buildings scattered amongst well-maintained gardens. At Khanyisa we are prepared to go beyond the expected and bring children an education that they will remember long after the completion of their tuition. We achieve this feat by recruiting excellent, passionate and knowledgeable educators and ensuring that we remain abreast of the latest developments in technology. We provide up to date facilities, educational aids and equipment and implement the latest, proven learning and teaching techniques and education trends. Find school fees here and for other admissions information, please contact us below:Khanyisa Education Centre, Nsami road, Giyani, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:25 am local time","Khanyisa Education Centre, Nsami road, Giyani, South Africa, South Africa"
Gauteng,Sandton,opti-baby-fourways@saprivateschools.co.za,,,https://saprivateschools.co.za/listing/opti-baby-kids-fourways-pre-school/,IEB,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"At Opti-Baby & Kids we create a place of wellbeing and joy - to bring parents like you the enormous comfort that comes with knowing your little one is cared for and thriving. These are our philosophies and values that shape Opti-Baby & Kids experiences and set us apart from other day-care centres. Developing 21st century children with the skills to cope in an ever changing world. To offer a premium, national infant and ECD learning experience through: Dedicated staff who applyÂ inspired effortsÂ to grow young minds and bodies; Parental partnership to foster anÂ extended-family environmentÂ for your child; and AÂ best-in-classÂ curriculum Our Core Values - The WHY concept: Safety and Security Caring, loving and nurturing Innovation Learning through fun and play Continuous development Educationally relevant Professionalism A partner in parenting See Fourways area on map to see other schools nearby.Opti-Baby and Kids Fourways, Albatross Drive, Fourways, Sandton, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:25 am local time","Opti-Baby and Kids Fourways, Albatross Drive, Fourways, Sandton, South Africa, South Africa"
Western Cape,South Peninsula,hello@sunvalleygroup.co.za,,,https://saprivateschools.co.za/listing/sunbird-pre-primary/,CAPS,,Western Cape,Grade RR,Grade R,7:00 am - 3:00 pm,"Sunbird Pre-Primary is an independent pre-school in Cape Town, South Africa. Together with Sun Valley Primary and Sunbird Pre-Primary, Sunbird Pre-Primary provides children with world-class education in a community-school environment. We don't teach Pre-Schoolers to read or write. We teach them to be reading and writing ready. When schools miss this vital research in brain development, many children end up with developmental gaps. There is a time and a place for everything. Pre-School is a time to get the body ready to learn so that we can unlock creativity and innovation No learning can happen unless the brain is learning ready. Using games, activities, stories, structured and unstructured play, we will make sure that the body is ready to learn by focusing on our High 5 Kids programme: Posture My Place in Space Communication Independence Skills We will achieve this by minimising threat and maximising reward. Research proves that this creates ownership of ideas and motivation. The result: More ideas are generated and creativity is unleashed.Brigantine Ave, Sun Valley, Cape Town, 7985, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:25 am local time","Brigantine Ave, Sun Valley, Cape Town, 7985, South Africa"
Gauteng,Johannesburg,secretaryone@libertycollege.co.za,,,https://saprivateschools.co.za/listing/liberty-primary-school/,Civil Technology,Dramatic Arts,Computer Applications Technology (CAT),Information Technology,English,7:00 am - 3:00 pm,"We believe that learners are unique and independent human beings. They are a work in progress. As such they have greatest likelihoods of reaching their full potential if they receive the necessary and relevant support. Universal inclusivity, in a school context, demands that we reach out and care for all who experience academic circumstances of any kind and that has never escaped our attention.2 10th Rd, Bramley, Johannesburg, 2018, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:25 am local time","2 10th Rd, Bramley, Johannesburg, 2018, South Africa"
