Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Cape Town,Rondebosch,marketing@bishops.org.za,+27 (0)21 659 1000,https://www.brescia.co.za/,https://saprivateschools.co.za/listing/bishops-diocesan-pre-school/,English,#N/A,,Western Cape,Grade RR,7:00 am - 3:00 pm,"Bishops, Cape Town, a South African school, aspires to: live the Christian faith in the Anglican tradition, humbly and courageously respect, nurture and value each person inspire individuals to open their minds and hearts, and to reach their dreams offer a world-class, all-round education fully up to date with the best educational and technological advances address global issues including the sustainability of the environment both as part of the curriculum and as demonstrated in school operations embrace and celebrate diversity in the communities of our school and nation. Pre-Prep was founded in 1962 with 24 boys. It consisted of two classrooms, a staff room, kitchen and a cloakroom. The school now consists of three Grade R classrooms and playground with a small staff room and kitchen, three Grade 1 classrooms and three Grade 2 classrooms. There is a small hall and offices with a staff room. Both Grade 1 and Grade 2 have their own play area with climbing apparatus. As we are on the College campus, the boys are also able to make use of the sports field beside the school.65 Campground Rd, Rondebosch, Cape Town, 7700, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:44 am local time","65 Campground Rd, Rondebosch, Cape Town, 7700, South Africa"
Western Cape,Cape Town,info.bs@starcollegecpt.co.za,,,https://saprivateschools.co.za/listing/star-primary-school/,Accounting,Music,African Languages,Tourism,Economics,7:00 am - 3:00 pm,"Our approach, at Star was always child-centred, encouraging activity based learning, inculcating a scientific temper and a spirit of free enquiry. Teachers ignite curiosity and the desire to learn rather than routinely load children with academic burden; a methodology that turns learning into a combination of classroom study, research and scientific discovery. Whilst excellence is pursued, Star is nevertheless devoted to the notion that every child is as important as every other. We, at Star always encourage each child to develop in their special field of interest so as to best showcase their particular type of talent while focusing on the universal values such as Respect, Love, Faithfulness, Ubuntu. ?126 Tarentaal Rd, Bridgetown, Cape Town, 7764, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","126 Tarentaal Rd, Bridgetown, Cape Town, 7764, South Africa"
Western Cape,Winelands,info@tjokkerland.co.za,https://www.treverton.co.za/,,https://saprivateschools.co.za/listing/tjokkerland-speelskool-paarl-pre-school/,English,CAPS,,Paarl,Grade RR,7:00 am - 3:00 pm,"This school's description is currently being updated and will appear within the near future.6 Klein St, Lemoenkloof, Paarl, 7646, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","6 Klein St, Lemoenkloof, Paarl, 7646, South Africa"
Eastern Cape,Fort Beaufort,kidio@sainet.co.za,,,https://saprivateschools.co.za/listing/kidio-preparatory-pre-school/,IEB,,Eastern Cape,Facebook,Twitter,7:00 am - 3:00 pm,"Kidio Preparatory is an educational private school in the center of Fort Beaufort under the oldest and biggest trees in town which makes for a beautiful cool and inviting environment. Our team of dedicated educators are committed to caring for your child whilst maintaining our proud tradition of academic excellence. I hope you will visit us for a tour of the school and to meet our staff and children. You will be sure of a friendly welcome.Kidio Preparatory School, Durban Street, Fort Beaufort, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","Kidio Preparatory School, Durban Street, Fort Beaufort, South Africa, South Africa"
Kwazulu Natal,Newcastle,dartapple@gmail.com,https://www.shekinahchristian.org/,,https://saprivateschools.co.za/listing/shekinah-christian-academy-primary-school/,Hospitality Studies,Mechanical Technology,Information Technology,Accounting,Music,7:00 am - 3:00 pm,"We are a Christian Private school that has a daycare also to cater for all age groups. 3 months old to Grade R and Grade 1 to Grade 10, (2022).OUR LOGO AND ETHOSHence the use of Sophus the SEA-HORSE as our logo.Sophus is the masculine of the female name Sophia which means ""wisdom"". We are building an environment of learning that keeps the main focus of information sharing its priority.Creating a space for the creativity of the child to flourish in the home environment of love and care. Using the Internet as a vehicle of transforming the minds of our children into the brilliant minds that will form part of our communities that will bring order and good government to our Nation.211 Drakensberg Dr, Barry Hertzog Park, Newcastle, 2945, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","211 Drakensberg Dr, Barry Hertzog Park, Newcastle, 2945, South Africa, South Africa"
Gauteng,Pretoria Central,registrations@royalschools.co.za,+27 (0) 12 324 1069,https://www.royalschools.co.za/queens-private-schools-pretoria.html,https://saprivateschools.co.za/listing/royal-pre-schools-queens-private/,Co-Ed (Mixed),English,CAPS,,Pretoria West,7:00 am - 3:00 pm,"In 1993 the Fourie family started one of the first affordable private schools in South Africa. In many cases learners had limited opportunities to receive quality education. With an engrained passion for education, and the support of dedicated and loyal people, the Fouries have managed to establish and grow a successful organisation over the last 28 years.310 WF Nkomo St, Pretoria West, Pretoria, 0001, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","310 WF Nkomo St, Pretoria West, Pretoria, 0001, South Africa"
Kwazulu Natal,Himeville,faithway@telkomsa.net,,,https://saprivateschools.co.za/listing/faithway-primary-school/,Agricultural technology,Dance Studies,Civil Technology,Hospitality Studies,Mechanical Technology,7:00 am - 3:00 pm,"This school's description is currently being updated and will appear within the near future.Arbuckle St, Himeville, 3256, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","Arbuckle St, Himeville, 3256, South Africa"
Gauteng,,dsp@dsp.gp.school.za,,,https://saprivateschools.co.za/listing/deutsche-schule-pretoria-high-school/,IEB,,Gauteng,Grade 12,Facebook,7:00 am - 3:00 pm,"The Deutsche Schule Pretoria offers private, independent schooling for preprimary, primary and high school children in The Willows, Pretoria.Simon Vermooten Rd, The Willows, Pretoria, 0041, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","Simon Vermooten Rd, The Willows, Pretoria, 0041, South Africa"
Kwazulu Natal,Pietermaritzburg,head@mcschool.co.za,,,https://saprivateschools.co.za/listing/maritzburg-christian-high-school/,CAPS,,Kwazulu Natal,Instagram,YouTube,7:00 am - 3:00 pm,"We are affiliated to the Association of Christian Schools International. Our matrics write the IEB Exams. MCS was founded in 1987 as a non-denominational, co-educational, multi-racial, Christian primary school. The high school opened in 2001 and our first matriculants wrote in 2005.We are a small, connected school, with a strong pastoral emphasis alongside the academics and sporting pillars that provide the foundations that young people need to mature spiritually, mentally and physically. Class sizes are limited to 26, and with no more than two classes per grade, every child is known. The opportunities for young people to develop in various, unique directions are supported in every dimension, and learners are intrinsically involved in leadership at every appropriate opportunity, from leading worship, the SRC, Prefectship, to sports teams, under the mentorship and guidance of a dedicated Christian staff. Currently, we are situated on the premises of Maritzburg Christian Church, but we have very real plans to expand onto our own premises, and to build on the promises that God has given us. ? See Pietermaritzburg area on map to see other schools nearby.Maritzburg Christian School, Topham Road, Pelham, Pietermaritzburg, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","Maritzburg Christian School, Topham Road, Pelham, Pietermaritzburg, South Africa, South Africa"
Gauteng,Jhb East,admissions@stcatherines.org.za,,,https://saprivateschools.co.za/listing/st-catherines-germiston-pre-school/,CAPS,,Gauteng,Grade RR,Grade R,7:00 am - 3:00 pm,"Independent Catholic Co-ed School. Grade 000 to 12. Your child's education is the most important decision you will ever make. It lasts a lifetime! We are large enough to offer a wide range of subjects and activities yet small enough to ensure that learners develop strong academic, cultural, sport and leadership skills in a secure and loving environment. First Convent School established on the East Rand. We invite prospective families to visit our school to experience the happy, relaxed environment in which our students thrive, as we are one family and that's what makes us so unique! St Catherine's Primary School is proud to announce our Leaders for this year!31 Piercy Ave, Parkhill Gardens, Germiston, 1401, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 11, 2024 8:45 am local time","31 Piercy Ave, Parkhill Gardens, Germiston, 1401, South Africa"
